Stock,Ticker,5Y_CAGR(%)
Reliance Industries,RELIANCE.NS,"Ticker
RELIANCE.NS    12.95
dtype: float64"
TCS,TCS.NS,"Ticker
TCS.NS    12.77
dtype: float64"
Infosys,INFY.NS,"Ticker
INFY.NS    20.99
dtype: float64"
HDFC Bank,HDFCBANK.NS,"Ticker
HDFCBANK.NS    14.75
dtype: float64"
ICICI Bank,ICICIBANK.NS,"Ticker
ICICIBANK.NS    31.84
dtype: float64"
ITC,ITC.NS,"Ticker
ITC.NS    23.62
dtype: float64"
Larsen & Toubro,LT.NS,"Ticker
LT.NS    34.26
dtype: float64"
SBI,SBIN.NS,"Ticker
SBIN.NS    35.67
dtype: float64"
Axis Bank,AXISBANK.NS,"Ticker
AXISBANK.NS    23.28
dtype: float64"
HUL,HINDUNILVR.NS,"Ticker
HINDUNILVR.NS    3.29
dtype: float64"
