amount_to_invest,risk_level,horizon,experience,preferred_sector,preferred_type,stock_allocation,mf_allocation,etf_allocation,recommended
308231,Low,13,Advanced,FMCG,"Stocks,ETF",65,0,35,"{""stocks"": [{""name"": ""TCS"", ""symbol"": ""TCS.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}, {""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
242985,Low,14,Beginner,Banking,MF,0,100,0,"{""stocks"": [], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}], ""etfs"": []}"
74086,Medium,6,Beginner,Banking,ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
434987,Medium,1,Advanced,FMCG,"Stocks,ETF",64,0,36,"{""stocks"": [{""name"": ""Infosys"", ""symbol"": ""INFY.NS""}, {""name"": ""ITC"", ""symbol"": ""ITC.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
19787,High,11,Intermediate,"Banking,Tech,FMCG","Stocks,ETF",39,0,61,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""SBI"", ""symbol"": ""SBIN.NS""}], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
332954,Medium,15,Advanced,"Tech,FMCG,Infrastructure",ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
261027,Medium,12,Intermediate,FMCG,Stocks,100,0,0,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [], ""etfs"": []}"
361085,Low,3,Beginner,"Banking,Infrastructure,FMCG","Stocks,MF",42,58,0,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}, {""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": []}"
406280,Low,15,Beginner,Infrastructure,Stocks,100,0,0,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}, {""name"": ""Infosys"", ""symbol"": ""INFY.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}], ""mutual_funds"": [], ""etfs"": []}"
132392,Low,7,Advanced,"Infrastructure,Tech",Stocks,100,0,0,"{""stocks"": [{""name"": ""Infosys"", ""symbol"": ""INFY.NS""}], ""mutual_funds"": [], ""etfs"": []}"
212768,Low,6,Intermediate,"Infrastructure,Banking","Stocks,MF,ETF",67,23,10,"{""stocks"": [{""name"": ""HUL"", ""symbol"": ""HINDUNILVR.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
449714,Low,13,Advanced,"Infrastructure,FMCG,Banking,Tech",Stocks,100,0,0,"{""stocks"": [{""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}], ""mutual_funds"": [], ""etfs"": []}"
209946,Medium,10,Beginner,"FMCG,Infrastructure,Banking",Stocks,100,0,0,"{""stocks"": [{""name"": ""ITC"", ""symbol"": ""ITC.NS""}, {""name"": ""ICICI Bank"", ""symbol"": ""ICICIBANK.NS""}, {""name"": ""L&T"", ""symbol"": ""LT.NS""}], ""mutual_funds"": [], ""etfs"": []}"
480115,Low,12,Beginner,"Infrastructure,FMCG,Banking,Tech","MF,ETF",0,57,43,"{""stocks"": [], ""mutual_funds"": [{""name"": ""ICICI Prudential US Bluechip Equity Fund - Direct Plan -IDCW"", ""symbol"": ""120185""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
195715,High,1,Advanced,"FMCG,Infrastructure","Stocks,MF,ETF",30,36,34,"{""stocks"": [{""name"": ""Axis Bank"", ""symbol"": ""AXISBANK.NS""}, {""name"": ""TCS"", ""symbol"": ""TCS.NS""}], ""mutual_funds"": [{""name"": ""Nippon India Small Cap Fund - Growth"", ""symbol"": ""113177""}, {""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}, {""name"": ""Nifty Next 50 ETF"", ""symbol"": ""JUNIORBEES.NS""}]}"
445941,Medium,4,Beginner,"Infrastructure,Banking,FMCG","Stocks,MF,ETF",31,55,14,"{""stocks"": [{""name"": ""HDFC Bank"", ""symbol"": ""HDFCBANK.NS""}, {""name"": ""Reliance Industries"", ""symbol"": ""RELIANCE.NS""}], ""mutual_funds"": [{""name"": ""HDFC Hybrid Equity Fund - IDCW "", ""symbol"": ""119061""}], ""etfs"": [{""name"": ""Nifty 50 ETF"", ""symbol"": ""NIFTYBEES.NS""}]}"
369334,Low,2,Beginner,"Tech,FMCG,Infrastructure,Banking",ETF,0,0,100,"{""stocks"": [], ""mutual_funds"": [], ""etfs"": [{""name"": ""Sensex ETF"", ""symbol"": ""SENSEXBEES.NS""}]}"
